actor,dialogue,date,Party
Holt,"The quote was, I just dont think she has the presidential look.",2016-09-26,Moderator
Trump,"You havewait a minute. Wait a minute, Lester. You asked me a question. Did you ask me a question? You have to be able to negotiate our trade deals. You have to be able to negotiate, thats right, with Japan, with Saudi Arabia. I mean, can you imagine, were defending Saudi Arabia? And with all of the money they have, were defending them, and theyre not paying? All you have to do is speak to them. Wait. You have so many different things you have to be able to do, and I dont believe that Hillary has the stamina.",2016-09-26,Republican
Holt,Lets let her respond.,2016-09-26,Moderator
Clinton,"Well, as soon as he travels to 112 countries and negotiates a peace deal, a cease-fire, a release of dissidents, an opening of new opportunities in nations around the world, or even spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina. [applause]",2016-09-26,Democrat
Trump,"The worldlet me tell you. Let me tell you. Hillary has experience, but its bad experience. We have made so many bad deals during the lastso shes got experience, that I agree. [applause] But its bad, bad experience. Whether its the Iran deal that youre so in love with, where we gave them $150 billion back, whether its the Iran deal, whether its anything you cannameyou almost cant name a good deal. I agree. Shes got experience, but its bad experience. And this country cant afford to have another four years of that kind of experience.",2016-09-26,Republican
Holt,We are atwe are at the final question. [applause],2016-09-26,Moderator
Clinton,"Well, one thing. One thing, Lester.",2016-09-26,Democrat
Holt,"Very quickly, because were at the final question now.",2016-09-26,Moderator
Clinton,"You know, he tried to switch from looks to stamina. But this is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers, who has said",2016-09-26,Democrat
Trump,I never said that.,2016-09-26,Republican
Clinton,. women dont deserve equal pay unless they do as good a job as men.,2016-09-26,Democrat
Trump,I didnt say that.,2016-09-26,Republican
Clinton,"And one of the worst things he said was about a woman in a beauty contest. He loves beauty contests, supporting them and hanging around them. And he called this woman Miss Piggy. Then he called her Miss Housekeeping, because she was Latina. Donald, she has a name.",2016-09-26,Democrat
Trump,Where did you find this? Where did you find this?,2016-09-26,Republican
Clinton,Her name is Alicia Machado.,2016-09-26,Democrat
Trump,Where did you find this?,2016-09-26,Republican
Clinton,"And she has become a U.S. citizen, and you can bet",2016-09-26,Democrat
Trump,"Oh, really?",2016-09-26,Republican
Clinton, shes going to vote this November.,2016-09-26,Democrat
Trump,"OK, good. Let me just tell you [applause]",2016-09-26,Republican
Holt,"Mr. Trump, could we just take 10 seconds and then we ask the final question",2016-09-26,Moderator
Trump,"You know, Hillary is hitting me with tremendous commercials. Some of its said in entertainment. Some of its saidsomebody whos been very vicious to me, Rosie ODonnell, I said very tough things to her, and I think everybody would agree that she deserves it and nobody feels sorry for her.",2016-09-26,Republican
Holt,Please very quickly.,2016-09-26,Moderator
Trump," extremely rough to Hillary, to her family, and I said to myself, I cant do it. I just cant do it. Its inappropriate. Its not nice. But she spent hundreds of millions of dollars on negative ads on me, many of which are absolutely untrue. Theyre untrue. And theyre misrepresentations. And I will tell you this, Lester: Its not nice. And I dont deserve that.",2016-09-26,Republican
Holt,We have to move on to the final question.,2016-09-26,Moderator
Trump," $200 million is spent, and Im either winning or tied, and Ive spent practically nothing. [applause]",2016-09-26,Republican
Holt,"One of you will not win this election. So my final question to you tonight, are you willing to accept the outcome as the will of the voters? Secretary Clinton?",2016-09-26,Moderator
Clinton,"Well, I support our democracy. And sometimes you win, sometimes you lose. But I certainly will support the outcome of this election. And I know Donalds trying very hard to plant doubts about it, but I hope the people out there understand: This elections really up to you. Its not about us so much as it is about you and your families and the kind of country and future you want. So I sure hope you will get out and vote as though your future depended on it, because I think it does.",2016-09-26,Democrat
Holt,"Mr. Trump, very quickly, same question. Will you accept the outcome as the will of the voters?",2016-09-26,Moderator
Trump,"I want to make America great again. We are a nation that is seriously troubled. Were losing our jobs. People are pouring into our country. The other day, we were deporting 800 people. And perhaps they passed the wrong button, they pressed the wrong button, or perhaps worse than that, it was corruption, but these people that we were going to deport for good reason ended up becoming citizens. Ended up becoming citizens. And it was 800. And now it turns out it might be 1,800, and they dont even know.",2016-09-26,Republican
Holt,Will you accept the outcome of the election?,2016-09-26,Moderator
Trump,"Look, heres the story. I want to make America great again. Im going to be able to do it. I dont believe Hillary will. The answer is, if she wins, I will absolutely support her. [applause]",2016-09-26,Republican
Holt,"All right. Well, that is going to do it for us. That concludes our debate for this evening, a spirited one. We covered a lot of ground, not everything as I suspected we would. The next presidential debates are scheduled for October 9th at Washington University in St. Louis and October 19th at the University of Nevada Las Vegas. The conversation will continue. A reminder. The vice presidential debate is scheduled for October 4th at Longwood University in Farmville, Virginia. My thanks to Hillary Clinton and to Donald Trump and to Hofstra University for hosting us tonight. Good night, everyone.",2016-09-26,Moderator
Speakers,"VICE PRESIDENT JOSEPH R. BIDEN JR. REP. PAUL D. RYAN, R-WIS. MARTHA RADDATZ, MODERATOR[*]RADDATZ: Good evening, and welcome to the first and only vice presidential debate of 2012, sponsored by the Commission on Presidential Debates. Im Martha Raddatz of ABC News, and I am honored to moderate this debate between two men who have dedicated much of their lives to public service. Tonights debate is divided between domestic and foreign policy issues. And Im going to move back and forth between foreign and domestic, since that is what a vice president or president would have to do. We will have nine different segments. At the beginning of each segment, I will ask both candidates a question, and they will each have two minutes to answer. Then I will encourage a discussion between the candidates with follow-up questions. By coin toss, it has been determined that Vice President Biden will be first to answer the opening question. We have a wonderful audience here at Centre College tonight. You will no doubt hear their enthusiasm at the end of the debate  and right now, as we welcome Vice President Joe Biden and Congressman Paul Ryan. OK, you got your little wave to the families in. Its great. Good evening, gentlemen. It really is an honor to be here with both of you. I would like to begin with Libya. On a rather somber note, one month ago tonight, on the anniversary of 9/11, Ambassador Chris Stevens and three other brave Americans were killed in a terrorist attack in Benghazi. The State Department has now made clear, there were no protesters there.",2012-10-11,Moderator
Raddatz,"it was a pre-planned assault by heavily armed men. Wasnt this a massive intelligence failure, Vice President Biden?",2012-10-11,Moderator
Biden,"What is was, it was a tragedy, Martha. It  Chris Stevens was one of our best. We lost three other brave Americans. I can make absolutely two commitments to you and all the American people tonight. One, we will find and bring to justice the men who did this. And secondly, we will get to the bottom of it, and whatever  wherever the facts lead us, wherever they lead us, we will make clear to the American public, because whatever mistakes were made will not be made again. When youre looking at a president, Martha, it seems to me that you should take a look at his most important responsibility. Thats caring for the national security of the country. And the best way to do that is take a look at how hes handled the issues of the day. On Iraq, the president said he would end the war. Governor Romney said that was a tragic mistake, we should have left 30,000  he ended it. Governor Romney said that was a tragic mistake, we should have left 30,000 troops there. With regard to Afghanistan, he said he will end the war in 2014. Governor Romney said we should not set a date, number one. And number two, with regard to 2014, it depends. When it came to Osama bin Laden, the president the first day in office, I was sitting with him in the Oval Office, he called in the CIA and signed an order saying, My highest priority is to get bin Laden. Prior to the election, prior to the  him being sworn in, Governor Romney was asked the question about how he would proceed. He said, I wouldnt move heaven and earth to get bin Laden. He didnt understand it was more than about taking a murderer off the battlefield. It was about restoring Americas heart and letting terrorists around the world know, if you do harm to America, we will track you to the gates of hell if need be. And lastly, the president of the United States has  has led with a steady hand and clear vision. Governor Romney, the opposite. The last thing we need now is another war.",2012-10-11,Democrat
Raddatz,Congressman Ryan?,2012-10-11,Moderator
Ryan,We mourn the loss of these four Americans who were murdered.,2012-10-11,Republican
Ryan,"When you take a look at what has happened just in the last few weeks, they sent the U.N. ambassador out to say that this was because of a protest and a YouTube video. It took the president two weeks to acknowledge that this was a terrorist attack. He went to the U.N. and in his speech at the U.N. he said six times  he talked about the YouTube video. This is becoming more troubling by the day. They first blamed the YouTube video. Now theyre trying to blame the Romney-Ryan ticket for making this an issue. With respect to Iraq, we had the same position before the withdrawal, which was we agreed with the Obama administration. Lets have a status of forces agreement to make sure that we secure our gains. The vice president was put in charge of those negotiations by President Obama and they failed to get the agreement. We dont have a status of forces agreement because they failed to get one. Thats what we are talking about. Now, when it comes to our veterans, we owe them a great debt of gratitude for what theyve done for us, including your son Beau. But we also want to make sure that we dont lose the things we fought so hard to get. Now, with respect to Afghanistan, the 2014 deadline, we agree with a 2014 transition. But what we also want it do is make sure that were not projecting weakness abroad, and thats whats happening here.",2012-10-11,Republican
Ryan,"This Benghazi issue would be a tragedy in and of itself, but unfortunately its indicative of a broader problem. And that is what we are watching on our TV screens is the unraveling of the Obama foreign policy, which is making the (inaudible) more chaotic us less safe.",2012-10-11,Republican
Raddatz,"I just want to you about right in the middle of the crisis. Governor Romney, and youre talking about this again tonight, talked about the weakness; talked about apologies from the Obama administration. Was that really appropriate right in the middle of the crisis?",2012-10-11,Moderator
Ryan,"On that same day, the Obama administration had the exact same position. Lets recall that they disavowed their own statement that they had put out earlier in the day in Cairo. So we had the same position, but we will  its never too early to speak out for our values. We should have spoken out right away when the green revolution was up and starting; when the mullahs in Iran were attacking their people. We should not have called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people. We should always stand up for peace, for democracy, for individual rights.",2012-10-11,Republican
Biden,"With all due respect, thats a bunch of malarkey.",2012-10-11,Democrat
Raddatz,And why is that so?,2012-10-11,Moderator
Biden,Because not a single thing he said is accurate. First of all,2012-10-11,Democrat
Raddatz,Be specific.,2012-10-11,Moderator
Biden,"I will be very specific. Number one, the  this lecture on embassy security  the congressman here cut embassy security in his budget by $300 million below what we asked for, number one. So much for the embassy security piece. Number two, Governor Romney, before he knew the facts, before he even knew that our ambassador was killed, he was out making a political statement which was panned by the media around the world. And this talk about this  this weakness. I  I dont understand what my friends talking about here. We  this is a president whos gone out and done everything he has said he was going to do. This is a guy whos repaired our alliances so the rest of the world follows us again. This is the guy who brought the entire world, including Russia and China, to bring about the most devastating  most devastating  the most devastating efforts on Iran to make sure that they in fact stop (inaudible). Look, I  I just  I mean, these guys bet against America all the time.",2012-10-11,Democrat
Raddatz,Can we talk  let me go back to Libya.,2012-10-11,Moderator
Biden,"Yeah, sure.",2012-10-11,Democrat
Raddatz,"What were you first told about the attack? Why  why were people talking about protests? When people in the consulate first saw armed men attacking with guns, there were no protesters. Why did that go on (inaudible)?",2012-10-11,Moderator
Biden,"Because that was exactly what we were told by the intelligence community. The intelligence community told us that. As they learned more facts about exactly what happened, they changed their assessment. Thats why theres also an investigation headed by Tom Pickering, a leading diplomat from the Reagan years, who is doing an investigation as to whether or not there are any lapses, what the lapses were, so that they will never happen again.",2012-10-11,Democrat
Raddatz,And they wanted more security there.,2012-10-11,Moderator
Biden,"Well, we werent told they wanted more security there. We did not know they wanted more security again. And by the way, at the time we were told exactly  we said exactly what the intelligence community told us that they knew. That was the assessment. And as the intelligence community changed their view, we made it clear they changed their view. Thats why I said we will get to the bottom of this. You know, usually when theres a crisis, we pull together. We pull together as a nation. But as I said, even before we knew what happened to the ambassador, the governor was holding a press conference  was holding a press conference. Thats not presidential leadership.",2012-10-11,Democrat
Raddatz,"Mr. Ryan, I want to ask you about  the Romney campaign talks a lot about no apologies. He has a book called called No Apologies. Should the U.S. have apologized for Americans burning Korans in Afghanistan? Should the U.S. apologize for U.S. Marines urinating on Taliban corpses?",2012-10-11,Moderator
Ryan,"Oh, gosh, yes. Urinating on Taliban corpses? What we should not apologize for",2012-10-11,Republican
Raddatz,"Burning Korans, immediately?",2012-10-11,Moderator
Ryan,"What  what we should not be apologizing for are standing up for our values. What we should not be doing is saying to the Egyptian people, while Mubarak is cracking down on them, that hes a good guy and, in the next week, say he ought to go. What we should not be doing is rejecting claims for  for calls for more security in our barracks, in our Marine  we need Marines in Benghazi when the commander on the ground says we need more forces for security. There were requests for extra security; those requests were not honored.",2012-10-11,Republican
Raddatz,"Lets move to Iran. Id actually like to move to Iran, because theres really no bigger national security",2012-10-11,Moderator
Ryan,Absolutely.,2012-10-11,Republican
Raddatz," this country is facing. Both President Obama and Governor Romney have said they will prevent Iran from getting a nuclear weapon, even if that means military action. Last week, former Defense Secretary Bob Gates said a strike on Irans facilities would not work and, quote, could prove catastrophic, haunting us for generations. Can the two of you be absolutely clear and specific to the American people how effective would a military strike be? Congressman Ryan?",2012-10-11,Moderator
Ryan,"We cannot allow Iran to gain a nuclear weapons capability. Now, lets take a look at where weve gone  come from. When Barack Obama was elected, they had enough fissile material  nuclear material to make one bomb. Now they have enough for five. Theyre racing toward a nuclear weapon. Theyre four years closer toward a nuclear weapons capability. Weve had four different sanctions, the U.N. on Iran, three from the Bush administration, one here. And the only reason we got it is because Russia watered it down and prevented the  the sanctions from hitting the central bank. Mitt Romney proposed these sanctions in 2007. In Congress, Ive been fighting for these sanctions since 2009. The administration was blocking us every step of the way. Only because we had strong bipartisan support for these tough sanctions were we able to overrule their objections and put them in spite of the administration. Imagine what would have happened if we had these sanctions in place earlier. You think Irans not brazen? Look at what theyre doing. Theyre stepping up their terrorist attacks. They tried a terrorist attack in the United States last year when they tried to blow up the Saudi ambassador at a restaurant in Washington, D.C. And talk about credibility? When this administration says that all options are on the table, they send out senior administration officials that send all these mixed signals. And so, in order to solve this peacefully  which is everybodys goal  you have to have the ayatollahs change their minds. Look at where they are. Theyre moving faster toward a nuclear weapon. Its because this administration has no credibility on this issue. Its because this administration watered down sanctions, delayed sanctions, tried to stop us for putting the tough sanctions in place. Now we have them in place because of Congress. They say the military options on the table, but its not being viewed as credible. And the key is to do this peacefully, is to make sure that we have credibility. Under a Romney administration, we will have credibility on this issue.",2012-10-11,Republican
Raddatz,Vice President Biden?,2012-10-11,Moderator
Biden,"Its incredible. Look, imagine had we let the Republican Congress work out the sanctions. You think theres any possibility the entire world would have joined us, Russia and China, all of our allies? These are the most crippling sanctions in the history of sanctions, period. Period.",2012-10-11,Democrat
Ryan,We want to prevent war.,2012-10-11,Republican
Biden,"And the interesting thing is, how are they going to prevent war? How are they going to prevent war if they say theres nothing more that we  that they say we should do than what weve already done, number one. And number two, with regard to the ability of the United States to take action militarily, it is  it is not in my purview to talk about classified information. But we feel quite confident we could deal a serious blow to the Iranians. But number two, the Iranians are  the Israelis and the United States, our military and intelligence communities are absolutely the same exact place in terms of how close  how close the Iranians are to getting a nuclear weapon. They are a good way away. There is no difference between our view and theirs. When my friend talks about fissile material, they have to take this highly enriched uranium, get it from 20 percent up, then they have to be able to have something to put it in. There is no weapon that the Iranians have at this point. Both the Israelis and we know  well know if they start the process of building a weapon. So all this bluster I keep hearing, all this loose talk, what are they talking about? Are you talking about, to be more credible  what more can the president do, stand before the United Nations, tell the whole world, directly communicate to the ayatollah, we will not let them acquire a nuclear weapon, period, unless hes talking about going to war.",2012-10-11,Democrat
Ryan,Martha? Lets,2012-10-11,Republican
Raddatz,"Congressman Ryan? RYAN: Lets look at this from the view of the ayatollahs. What do they see? They see this administration trying to water down sanctions in Congress for over two years. Theyre moving faster toward a nuclear weapon. Theyre spinning the centrifuges faster. They see us saying when we come into the administration, when theyre sworn in, we need more space with our ally, Israel. They see President Obama in New York City the same day Bibi Netanyahu is and he, instead of meeting with him, goes on a  on a daily talk show. They see, when we say that these options are on the table, the secretary of defense walked them back. They are not changing their mind. Thats what we have to do, is change their mind so they stop pursuing nuclear weapons, and theyre going faster.",2012-10-11,Moderator
Raddatz,"How do you do it so quickly? Look, you  you both saw Benjamin Netanyahu hold up that picture of a bomb with a red line and talking about the red line being in spring. So can you solve this, if the Romney-Ryan ticket is elected, can you solve this in two months before spring and avoid nuclear  nuclear",2012-10-11,Moderator
Ryan,"We can debate a time line. We can debate the time line, whether theres  its that short a time or longer. I agree that its probably longer.",2012-10-11,Republican
Raddatz,You dont agree with that bomb and whether the Israelis,2012-10-11,Moderator
Ryan,I dont want to go into classified stuff. But we both agree that to do this peacefully youve got to get them to change their minds. Theyre not changing their minds. And look at what this administration,2012-10-11,Republican
Raddatz,But what  what do,2012-10-11,Moderator
Biden,Let me tell you what the ayatollah sees.,2012-10-11,Democrat
Ryan,You have to have credibility.,2012-10-11,Republican
Biden,"The ayatollah sees his economy being crippled. The ayatollah sees that there are 50 percent fewer exports of oil. He sees the currency going into the tank. He sees the economy going into freefall. And he sees the world for the first time totally united in opposition to him getting a nuclear weapon. Now, with regard to Bibi, whos been my friend 39 years, the president has met with Bibi a dozen times. Hes spoken to Bibi Netanyahu as much as hes spoken to anybody. The idea that were not  I was in a, just before he went to the U.N., I was in a conference call with the  with the president, with him talking to Bibi for well over an hour, in  in  in stark relief and detail of what was going on. This is a bunch of stuff. Look, heres the deal.",2012-10-11,Democrat
Raddatz,"What does that mean, a bunch of stuff?",2012-10-11,Moderator
Biden,"Well, it means its simply inaccurate.",2012-10-11,Democrat
Ryan,Its Irish.,2012-10-11,Republican
Biden,It  it is. We Irish call it malarkey.,2012-10-11,Democrat
Raddatz,Thanks for the translation. OK.,2012-10-11,Moderator
Biden,"We Irish call it malarkey. But last thing. The secretary of defense has made it absolutely clear, we didnt walk anything back. We will not allow the Iranians to get a nuclear weapon. What Bibi held up there was when they get to the point where they can enrich uranium enough to put into a weapon. They dont have a weapon to put it into. Lets all calm down a little bit here. Iran is more isolated today than when we took office. It was on the ascendancy when we took office. It is totally isolated.",2012-10-11,Democrat
Raddatz,Congressman Ryan?,2012-10-11,Moderator
Biden,I dont know what world this guys living in. RYAN: Thank heavens we had these sanctions in place. Its in spite of their opposition.,2012-10-11,Democrat
Biden,"Oh, god.",2012-10-11,Democrat
Ryan,Theyve given 20 waivers to this sanction. And all I have to point to are the results. Theyre four years closer toward a nuclear weapon. I think that case speaks for itself.,2012-10-11,Republican
Raddatz,Can you tell the American people,2012-10-11,Moderator
Biden,"By the way, they",2012-10-11,Democrat
Raddatz,"Whats worse, another war in the Middle East",2012-10-11,Moderator
Biden, they are not four years closer to a nuclear weapon.,2012-10-11,Democrat
Ryan,Of course they are.,2012-10-11,Republican
Biden,Theyre  theyre closer to being able to get enough fissile material to put in a weapon if they had a weapon.,2012-10-11,Democrat
Raddatz,You are acting a little bit like they dont want one.,2012-10-11,Moderator
Biden,"Oh, I didnt say  no, Im not saying that. But facts matter, Martha. Youre a foreign policy expert. Facts matter. All this loose talk about them, All they have to do is get to enrich uranium in a certain amount and they have a weapon, not true. Not true. They are more  and if we ever have to take action, unlike when we took office, we will have the world behind us, and that matters. That matters.",2012-10-11,Democrat
Raddatz,"What about Bob Gates statement? Let me read that again, could prove catastrophic, haunting us for generations.",2012-10-11,Moderator
Biden,"He is right. It could prove catastrophic, if we didnt do it with precision.",2012-10-11,Democrat
Raddatz,Congressman Ryan?,2012-10-11,Moderator
Ryan,"And what it does is it undermines our credibility by backing up the point when we make it that all options are on the table. Thats the point. The ayatollahs see these kinds of statements and they think, Im going to get a nuclear weapon. When  when we see the kind of equivocation that took place because this administration wanted a precondition policy, so when the Green Revolution started up, they were silent for nine days. When they see us putting  when they see us putting daylight between ourselves and our allies in Israel, that gives them encouragement. When they see Russia watering down any further sanctions, the only reason we got a U.N. sanction is because Russia watered it down and prevented these central bank sanctions in the first place. So when they see this kind of activity, they are encouraged to continue, and thats the problem.",2012-10-11,Republican
Biden,"Martha, let me tell you what Russia",2012-10-11,Democrat
Raddatz,"Well, let me ask you whats worse, war in the Middle East, another war in the Middle East, or a nuclear-armed Iran?",2012-10-11,Moderator
Ryan,Ill tell you whats worse. Ill tell you whats worse.,2012-10-11,Republican
Raddatz,Quickly.,2012-10-11,Moderator
Ryan,A nuclear-armed Iran which triggers a nuclear arms race in the Middle East. This is the worlds largest sponsor of  of terrorism. Theyve dedicated themselves,2012-10-11,Republican
Ryan," to wiping an entire country off the map. They call us the Great Satan. And if they get nuclear weapons, other people in the neighborhood will pursue their nuclear weapons, as well.",2012-10-11,Republican
Raddatz,Vice President Biden?,2012-10-11,Moderator
Ryan,We cant live with that.,2012-10-11,Republican
Biden,"War should always be the absolute last resort. Thats why these crippling sanctions, which Bibi Netanyahu says we should continue, which  if Im not mistaken  Governor Romney says we  we should continue. I may be mistaken. He changes his mind so often, I could be wrong. But the fact of the matter is, he says theyre working. And the fact is that they are being crippled by them. And weve made it clear, big nations cant bluff. This president doesnt bluff.",2012-10-11,Democrat
Raddatz,"Gentlemen, I want to bring the conversation to a different kind of national security issue, the state of our economy. The number-one issue here at home is jobs. The percentage of unemployed just fell below 8 percent for the first time in 43 months. The Obama administration had projected that it would fall below 6 percent now after the addition of close to a trillion dollars in stimulus money.",2012-10-11,Moderator
Biden,"I dont know how long it will take. We can and we will get it under 6 percent. Lets look at  lets take a look at the facts. Lets look at where we were when we came to office. The economy was in free fall. We had  the great recession hit; 9 million people lost their job; $1.7  $1.6 trillion in wealth lost in equity in your homes, in retirement accounts for the middle class. We knew we had to act for the middle class. We immediately went out and rescued General Motors. We went ahead and made sure that we cut taxes for the middle class. And in addition to that, when that  when that occurred, what did Romney do? Romney said, No, let Detroit go bankrupt. We moved in and helped people refinance their homes. Governor Romney said, No, let foreclosures hit the bottom. But it shouldnt be surprising for a guy who says 47 percent of the American people are unwilling to take responsibility for their own lives. My friend recently in a speech in Washington said 30 percent of the American people are takers. These people are my mom and dad  the people I grew up with, my neighbors. They pay more effective tax than Governor Romney pays in his federal income tax. They are elderly people who in fact are living off of Social Security. They are veterans and people fighting in Afghanistan right now who are, quote, not paying any tax. Ive had it up to here with this notion that 47 percent  its about time they take some responsibility here. And instead of signing pledges to Grover Norquist not to ask the wealthiest among us to contribute to bring back the middle class, they should be signing a pledge saying to the middle class were going to level the playing field; were going to give you a fair shot again; we are going to not repeat the mistakes we made in the past by having a different set of rules for Wall Street and Main Street, making sure that we continue to hemorrhage these tax cuts for the super wealthy.",2012-10-11,Democrat
Biden,"Theyre pushing the continuation of a tax cut that will give an additional $500 billion in tax cuts to 120,000 families. And theyre holding hostage the middle class tax cut because they say we wont pass  we wont continue the middle class tax cut unless you give the tax cut for the super wealthy. Its about time they take some responsibility.",2012-10-11,Democrat
Raddatz,Mr. Ryan?,2012-10-11,Moderator
Ryan,"Joe and I are from similar towns. Hes from Scranton, Pennsylvania. Im from Janesville, Wisconsin. You know what the unemployment rate in Scranton is today?",2012-10-11,Republican
Biden,I sure do.,2012-10-11,Democrat
Ryan,Its 10 percent.,2012-10-11,Republican
Biden,Yeah.,2012-10-11,Democrat
Ryan,You know what it was the day you guys came in  8.5 percent.,2012-10-11,Republican
Biden,Yeah.,2012-10-11,Democrat
Ryan,Thats how its going all around America.,2012-10-11,Republican
Biden,You dont read the statistics. Thats not how its going. Its going down.,2012-10-11,Democrat
Raddatz,(inaudible) two-minute answer (inaudible),2012-10-11,Moderator
Ryan,"Look, did they come in and inherit a tough situation? Absolutely. But were going in the wrong direction. Look at where we are. The economy is barely limping along. Its growing a 1.3 percent. Thats slower than it grew last year and last year was slower than the year before. Job growth in September was slower than it was in August, and August was slower than it was in July. Were heading in the wrong direction; 23 million Americans are struggling for work today; 15 percent of Americans are living in poverty today. This is not what a real recovery looks like. We need real reforms for real recovery and thats exactly what Mitt Romney and I are proposing. Its a five-point plan. Get America energy independent in North America by the end of the decade. Help people who are hurting get the skills they need to get the jobs they want. Get this deficit and debt under control to prevent a debt crisis. Make trade work for America so we can make more things in America and sell them overseas, and champion small businesses. Dont raise taxes on small businesses because theyre our job creators.",2012-10-11,Republican
Ryan,"He talks about Detroit. Mitt Romneys a car guy. They keep misquoting him, but let me tell you about the Mitt Romney I know. This is a guy who I was talking to a family in Northborough, Massachusetts the other day, Sheryl and Mark Nixon. Their kids were hit in a car crash, four of them. Two of them, Rob and Reed, were paralyzed. The Romneys didnt know them. They went to the same church; they never met before. Mitt asked if he could come over on Christmas. He brought his boys, his wife, and gifts. Later on, he said, I know youre struggling, Mark. Dont worry about their college. Ill pay for it. When Mark told me this story, because, you know what, Mitt Romney doesnt tell these stories. The Nixons told this story. When he told me this story, he said it wasnt the help, the cash help. Its that he gave his time, and he has consistently. This is a man who gave 30 percent of his income to charity, more than the two of us combined. Mitt Romneys a good man. He cares about 100 percent of Americans in this country. And with respect to that quote, I think the vice president very well knows that sometimes the words dont come out of your mouth the right way.",2012-10-11,Republican
Biden,But I always say what I mean. And so does Romney.,2012-10-11,Democrat
Ryan,"We want everybody to succeed. We want to get people out of poverty, in the middle class, onto a life of self-sufficiently. We believe in opportunity and upward mobility. Thats what were going to push for in a Romney administration.",2012-10-11,Republican
Raddatz,Vice president? I have a feeling you have a few things to say here.,2012-10-11,Moderator
Biden,"The idea  if you heard that  that little soliloquy on 47 percent and you think he just made a mistake, then I think youre  I  I think  I got a bridge to sell you. Look, I dont doubt his personal generosity. And I understand what its like. When I was a little younger than the congressman, my wife was in an accident, killed my daughter and my wife, and my two sons survived. I have sat in the homes of many people whove gone through what I get through, because the one thing you can give people solace is to know if they know youve been through it, that they can make it. So I dont doubt his personal commitment to individuals. But you know what? I know he had no commitment to the automobile industry. He just  he said, let it go bankrupt, period. Let it drop out. All this talk  we saved a million jobs. Two hundred thousand people are working today. And Ive never met two guys whore more down on America across the board. Were told everythings going bad. There are 5.2 million new jobs, private-sector jobs. We need more, but 5.2 million  if theyd get out of the way, if theyd get out of the way and let us pass the tax cut for the middle class, make it permanent, if they get out of the way and pass the  pass the jobs bill, if they get out of the way and let us allow 14 million people who are struggling to stay in their homes because their mortgages are upside down, but they never missed a mortgage payment, just get out of the way. Stop talking about how you care about people. Show me something. Show me a policy. Show me a policy where you take responsibility. And, by the way, they talk about this Great Recession if it fell out of the sky, like, Oh, my goodness, where did it come from? It came from this man voting to put two wars on a credit card, to at the same time put a prescription drug benefit on the credit card, a trillion-dollar tax cut for the very wealthy. I was there. I voted against them. I said, no, we cant afford that. And now, all of a sudden, these guys are so seized with the concern about the debt that they created.",2012-10-11,Democrat
Raddatz,Congressman Ryan?,2012-10-11,Moderator
Ryan,"Lets not forget that they came in with one-party control. When Barack Obama was elected, his party controlled everything. They had the ability to do everything of their choosing. And look at where we are right now. They passed the stimulus. The idea that we could borrow $831 billion, spend it on all of these special interest groups, and that it would work out just fine, that unemployment would never get to 8 percent  it went up above 8 percent for 43 months. They said that, right now, if we just passed this stimulus, the economy would grow at 4 percent. Its growing at 1.3.",2012-10-11,Republican
Raddatz,When could you get it below 6 percent?,2012-10-11,Moderator
Ryan,"Thats what our entire premise of our pro-growth plan for a stronger middle class is all about: getting the economy growing at 4 percent, creating 12 million jobs over the next four years.",2012-10-11,Republican
Biden,Martha,2012-10-11,Democrat
Raddatz,Go ahead. Go ahead.,2012-10-11,Moderator
Biden,"Martha, look. His colleague",2012-10-11,Democrat
Ryan,Crony capitalism and corporate welfare.,2012-10-11,Republican
Biden," runs an investigative committee, spent months and months and months going into this.",2012-10-11,Democrat
Ryan,This is the  this is the inspector general.,2012-10-11,Republican
Biden,Months and months. They found no evidence of cronyism.,2012-10-11,Democrat
Raddatz,"You did ask for stimulus money, correct?",2012-10-11,Moderator
Biden,Sure he did. By the way,2012-10-11,Democrat
Ryan,"On two occasions we  we  we advocated for constituents who were applying for grants. Thats what we do. We do that for all constituents who are (CROSSTALK) BIDEN: I love that. I love that. This was such a bad program and he writes me a letter saying  writes the Department of Energy a letter saying, The reason we need this stimulus, it will create growth and jobs. His words. And now hes sitting here looking at me. And by the way, that program, again, investigated. What the Congress said was it was a model. Less than four-tenths of 1 percent waste or fraud in the program. And all this talk about cronyism. They investigated and investigated, did not find one single piece of evidence. I wish he would just tell  be a little more candid.",2012-10-11,Republican
Ryan,"Was it a good idea to spend taxpayer dollars on electric cars in Finland, or on windmills in China?",2012-10-11,Republican
Biden,Look,2012-10-11,Democrat
Ryan,Was it a good idea to borrow all this money from countries like China and spend it on all these various different interest groups?,2012-10-11,Republican
Biden,"Let me tell you what was a good idea. It was a good idea, Moodys and others said that this was exactly what we needed to stop this from going off the cliff. It set the conditions to be able to grow again. We have, in fact, 4 percent of those green jobs didnt go under  went under, didnt work. Its a better batting average than investment bankers have. They have about a 40 percent",2012-10-11,Democrat
Ryan,Where are the 5 million green jobs that were being,2012-10-11,Republican
Raddatz,I want to move on here to Medicare and entitlements. I think weve gone over this quite enough.,2012-10-11,Moderator
Biden,"By the way, any letter you send me, Ill entertain.",2012-10-11,Democrat
